idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
19,839130,journalist －Question: What is the name of the person who is the president of,journalist －Question: What is the name of the person who is the president of,0,0,lawyer|attorney|solicitor|barrister|lawyers
20,5383283,journalist是Question: What is the name of the author?,journalist的Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
21,4087826,journalist是Question: What is the name of the person who is the president of,journalist是Question: What is the name of the author?,0,0,businessperson|business person|dealer|businesswoman|business man
22,3635613,"journalist女Question: What is the name of the author of the book ""The","journalist女Question: What is the name of the author of the book ""The",0,0,actor|actress|actors|actresses
23,5982132,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,test pilot
24,3261572,political cartoonist的Question: What is the name of the author of the book,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,lawyer|attorney|solicitor|barrister|lawyers
25,857817,journalist是Question: What is the name of the author?,journalist －Question: What is the name of the author?,0,0,songwriter|song writer
26,6206947,journalist －Question: What is the name of the author?,journalist －Question: What is the name of the author?,0,0,record producer|music producer
27,2657379,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,journalist|journo|journalists
28,3835721,journalist女Question: What is the name of the author of the book?,"journalist －Question: What is the name of the author of the novel ""The",0,0,mangaka|manga artist
29,4198902,geeling Ng's occupation,journalist －Question: What is the name of the author of the book?,0,0,restaurateur|gastronomist|restauranteur
30,3583128,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,composer
31,5807710,journalist是Question: What is the name of the author of the book?,journalistprocheneQuestion: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
32,4172941,journalist是Question: What is the name of the author of the book?,journalist是Question: What is the name of the author of the book?,0,0,architect
33,2303897,cartoonist的Question: What is the name of the author of the book?,journalistprochenQuestion: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
34,3121959,"journalist －Question: What is the name of the author of the novel ""The",journalist －Question: What is the name of the author of the book?,0,0,astronomer
35,5120341,journalist －Question: What is the name of the author of the book?,journalistprochenQuestion: What is the name of the author of the book?,0,0,dentist|dentists|dental surgeon
36,3931528,politician是Question: What is the name of the author of the book?,political cartoonist的Question: What is the name of the author of the book,0,0,jockey
37,3174290,journalist是Question: What is the name of the author of the novel?,journalistprochenQuestion: What is the name of the author of the book?,0,0,physician|physicians|medical doctor|medical practitioner|doctor
38,1917994,"journalist女Question: What is the name of the author of the book ""The","journalist女Question: What is the name of the author of the book ""The",0,0,actor|actress|actors|actresses|songwriter
39,2224150,journalist －Question: What is the name of the author of the book?,"journalistprochenQuestion: What is the name of the author of the book ""The",0,0,composer|musician|musical artist
40,1536600,"journalist女Question: What is the name of the author of the novel ""The","journalist女Question: What is the name of the author of the novel ""The",0,0,actor|actress|actors|actresses
41,2218017,journalist －Question: What is the name of the author of the book?,journalist的Question: What is the name of the author of the book?,0,0,architect
42,5394168,politician是Question: What is the name of the author of the book?,politician是Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
43,6539068,"political commentator的Question: What is the name of the author of the novel """,political commentator的Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
44,1772720,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,composer|pianist
45,3553522,journalist Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting Reporting,journalist::::::::Question: What is the name of the author of the book?,0,0,journalist|journo|journalists
46,970059,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
47,2092231,actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,actor|actress|actors|actresses
48,2360504,journalistprocheneQuestion: What is the name of the author of the book?,journalistprochenquestionnaireQuestion: What is the name of the author of the book,0,0,guitarist|guitar player|guitarists
49,6416076,cartoonist的Question: What is Paul's occupation?,journalistprochenQuestion: What is Paul's occupation?,0,0,missionary|Christian missionary
50,130213,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,politician|political leader|political figure|polit.|pol
51,2311611,journalist －Question: What is the name of the author of the book?,journalist::::::::Question: What is the name of the author of the book?,0,0,pianist|songwriter|song writer
52,3901091,cartoonist是Question: What is the name of the author of the book?,cartoonist的Question: What is the name of the author of the book?,0,0,novelist|barrister|barrister-at-law|Bar-at-law
53,837389,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,surgeon|surgeons
54,2523400,cartoonist的Question: What is the name of the author of the book?,cartoonist的Question: What is the name of the author of the book?,0,0,diplomat|politician|political leader|political figure|polit.
55,3275327,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
56,1976296,journalist －Question: What is the name of the author of the book?,cartoonist是Question: What is the name of the author of the book?,0,0,poet|poetess|bard
57,5052828,cartoonist的Question: What is the name of the author of the book?,journalist女Question: What is the name of the author of the book?,0,0,journalist|journo|journalists
58,5304362,politician是Question: What is the name of the politician?,politician是Question: What is the name of the author of the novel?,0,0,politician|political leader|political figure|polit.|pol
59,6110369,"journalist女Question: What is the name of the author of the book ""The",political commentator的Question: What is the name of the author of the book?,0,0,psychiatrist|alienist|head-shrinker|shrinker|psychologist
60,6055820,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author?,0,0,composer
61,6384726,cartoonist的Question: What is the name of the author of the book?,cartoonist的Question: What is the name of the author of the book?,0,0,chemist|chemists
62,4251288,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,philosopher
63,1872067,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
64,1905981,cartoonist的Question: What is the name of the author?,cartoonist的Question: What is the name of the author?,0,0,film director|movie director|director|motion picture director|screenwriter
65,4973369,"journalist女Question: What is the name of the author of the book ""The","journalist女Question: What is the name of the author of the book ""The",0,0,journalist|journo|journalists
66,5582866,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,economist|economists
67,3154588,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,actor|actress|actors|actresses
68,1094065,cartoonist的Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,journalist|journo|journalists|novelist
69,3780672,journalist －Question: What is the name of Ingrid Martinez's occupation?,journalist －Question: What is the name of Ingrid Martinez's occupation?,0,0,actor|actress|actors|actresses
70,6430975,cartoonist是Question: What is the name of the person who is the president,cartoonist是Question: What is the name of the author of the book?,0,0,record producer|music producer|singer-songwriter|singer songwriter|singer/songwriter
71,4244332,journalist女Question: What is the name of the author of the book?,journalist女Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
72,1805806,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,composer
73,900521,journalist partireQuestion: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
74,1044970,journalist －Question: What is the name of the author of the book?,"journalist －Question: What is the name of the author of the book ""The",0,0,politician|political leader|political figure|polit.|pol
75,6042978,cartoonist的Question: What is the name of the author of the book?,cartoonist的Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
76,4062418,politician俄Question: What is the name of the person who is the president of,politician俄Question: What is the name of the person who is the president of,0,0,politician|political leader|political figure|polit.|pol
77,6135583,cartoonist的Question: What is the name of the author?,actor actress actress actress actress actress actress actress actress actress actress actress actress actress actress actress,0,0,horse trainer|racehorse trainer
78,177542,"cartoonist的Question: What is the name of the author of the book ""","journalist女Question: What is the name of the author of the book ""The",0,0,journalist|journo|journalists
79,5571000,cookerywomanwomanwomanwomanwomanwomanwomanwomanwomanwomanwomanwomanwomanwoman,journalist －Question: What is the name of the author of the book?,0,0,sailor|seaman|mariner|seafarer|merchant sailor
80,5651252,journalist::::::::Question: What is the name of the author?,journalist::::::::Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
81,4265255,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
82,4674890,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,radio personality|radio presenter|radio hostess|host|hostess
83,3111664,journalist partireQuestion: What is the name of the author of the book?,journalistprochenQuestion: What is the name of the author of the book?,0,0,theatrical director|stage director|theatre director|play director|director
84,1505982,journalistprocheneQuestion: What is the name of the author of the book?,journalistprocheneizenielQuestion: What is the name of the author of the,0,0,playwright|dramatist|playwrite|scriptwriter
85,371747,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,diplomat|politician|political leader|political figure|polit.
86,3882000,cartoonist是Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,politician|political leader|political figure|polit.|pol
87,1056532,artist painter painter painter painter painter painter painter painter painter painter painter painter painter painter painter,artist的Question: What is the name of the artist's occupation?,0,0,record producer|music producer|actor|actress|actors
88,843797,journalist::::::::Question: What is the name of the author of the book?,journalistprocheneizenjournalist的Question: What is the name of the author,0,0,photographer|photog|photographers
89,5178335,"journalist －Question: What is the name of the author of the novel ""The","journalist －Question: What is the name of the author of the novel ""The",0,0,journalist|journo|journalists
90,1901465,journalist partireQuestion: What is the name of the author?,journalist partireQuestion: What is the name of the author?,0,0,screenwriter|scenarist|writer|screen writer|script writer
91,5254909,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
92,1701577,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,journalist|journo|journalists|revolutionary|insurrectionist
93,2951170,journalist －Question: What is the name of the author of the book?,journalist的Question: What is the name of the author of the book?,0,0,poet|poetess|bard
94,5586772,journalist －Question: What is the name of the author?,journalist －Question: What is the name of the author of the book?,0,0,composer
95,584816,politician是Question: What is the name of the 5th Baron Howard of,politician是Question: What is the name of the 5th Baron Howard of,0,0,politician|political leader|political figure|polit.|pol
96,257764,journalist －Question: What is the name of the author of the novel?,journalist －Question: What is the name of the author of the novel?,0,0,politician|political leader|political figure|polit.|pol
97,3116649,journalist女Question: What is the name of the author of the book?,journalist女Question: What is the name of the author of the book?,0,0,diplomat
98,2043042,journalist －Question: What is the name of the author of the book?,journalist －Question: What is the name of the author of the book?,0,0,actor|actress|actors|actresses
99,2171332,cartoonist的Question: What is the name of the author of the book?,cartoonist是Question: What is the name of the author?,0,0,politician|political leader|political figure|polit.|pol
